title,explanatory_memo_pdf_url,bill_digest_pdf_url
Fair Work (Registered Organisations) Amendment (Removing Criminals from Worksites) Bill 2024 (No. 2),https://parlinfo.aph.gov.au/parlInfo/download/legislation/ems/s1426_ems_c8accb2b-1e52-41bb-b859-97eb28e4570f/upload_pdf/EM_24S16.pdf;fileType=application%2Fpdf#search=%22legislation/ems/s1426_ems_c8accb2b-1e52-41bb-b859-97eb28e4570f%22,None
Australian Education Legislation Amendment (Prohibiting the Indoctrination of Children) Bill 2020,https://parlinfo.aph.gov.au/parlInfo/download/legislation/ems/s1254_ems_2862fcdb-e6fb-4ff1-b470-7288c6fff241/upload_pdf/20S02em.pdf;fileType=application%2Fpdf#search=%22legislation/ems/s1254_ems_2862fcdb-e6fb-4ff1-b470-7288c6fff241%22,None
"Defence Trade Controls Amendment (Genocide, War Crimes and Crimes Against Humanity) Bill 2024",https://parlinfo.aph.gov.au/parlInfo/download/legislation/ems/s1438_ems_f0fd9594-0d75-4e1e-8112-03649ef66d1b/upload_pdf/EM_24S25.pdf;fileType=application%2Fpdf#search=%22legislation/ems/s1438_ems_f0fd9594-0d75-4e1e-8112-03649ef66d1b%22,None
Electoral Legislation Amendment (Fair Territory Representation) Bill 2024,https://parlinfo.aph.gov.au/parlInfo/download/legislation/ems/s1435_ems_4aa22980-854a-4ead-b61e-f3bd334d08e4/upload_pdf/EM_24S24.pdf;fileType=application%2Fpdf#search=%22legislation/ems/s1435_ems_4aa22980-854a-4ead-b61e-f3bd334d08e4%22,None
Electoral Legislation Amendment (Electoral Communications) Bill 2024,https://parlinfo.aph.gov.au/parlInfo/download/legislation/ems/r7279_ems_358a46e6-fb2d-4a23-a9ee-0abcab55e85a/upload_pdf/JC014662.pdf;fileType=application%2Fpdf#search=%22legislation/ems/r7279_ems_358a46e6-fb2d-4a23-a9ee-0abcab55e85a%22,None
Electric Vehicles Accountability Bill 2021,https://parlinfo.aph.gov.au/parlInfo/download/legislation/ems/s1302_ems_29097d90-97e6-4f72-8285-656637627524/upload_pdf/21S04em.pdf;fileType=application%2Fpdf#search=%22legislation/ems/s1302_ems_29097d90-97e6-4f72-8285-656637627524%22,None
Airline Passenger Protections (Pay on Delay) Bill 2024,https://parlinfo.aph.gov.au/parlInfo/download/legislation/ems/s1410_ems_7934cef2-b18b-46fc-9eab-4a4efac32463/upload_pdf/EM_24S02.pdf;fileType=application%2Fpdf#search=%22legislation/ems/s1410_ems_7934cef2-b18b-46fc-9eab-4a4efac32463%22,None
"Criminal Code Amendment (Genocide, Crimes Against Humanity and War Crimes) Bill 2024",https://parlinfo.aph.gov.au/parlInfo/download/legislation/ems/s1407_ems_ea96d967-d9f8-4305-886b-54020cb347d4/upload_pdf/EM_24S01.pdf;fileType=application%2Fpdf#search=%22legislation/ems/s1407_ems_ea96d967-d9f8-4305-886b-54020cb347d4%22,None
Fair Work Amendment (Equal Pay for Equal Work) Bill 2022,https://parlinfo.aph.gov.au/parlInfo/download/legislation/ems/s1337_ems_6babf05a-c1bd-48ac-86c1-dc0b584893dc/upload_pdf/22S03em.pdf;fileType=application%2Fpdf#search=%22legislation/ems/s1337_ems_6babf05a-c1bd-48ac-86c1-dc0b584893dc%22,None
"Accountability of Grants, Investment Mandates and Use of Public Resources Amendment (End Pork Barrelling) Bill 2024 [No. 2]",https://parlinfo.aph.gov.au/parlInfo/download/legislation/ems/r7260_ems_806b7b96-52ac-4dcb-8a57-f373c632f139/upload_pdf/24126b01%20EM%20Haines.pdf;fileType=application%2Fpdf#search=%22legislation/ems/r7260_ems_806b7b96-52ac-4dcb-8a57-f373c632f139%22,None
